algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found
UCS,847362904,7773,107,692,0.030920028686523438,True
UCS,1092837405,2997,46,190,0.011521339416503906,True
UCS,65748390,4500,55,271,0.017254352569580078,True
UCS,12039485043,2604,82,190,0.010705232620239258,True
UCS,2039485702,5450,83,578,0.021213769912719727,True

A*,384927103,1729,57,219,0.007048606872558594,True
A*,1298374658,3575,90,288,0.014493465423583984,True
A*,298374658,6177,107,593,0.024530410766601562,True
A*,18273645131,876,31,238,0.0034453868865966797,True
A*,9384756122,314,19,91,0.0014302730560302734,True
A*,564738297,670,32,122,0.0028772354125976562,True
A*,2039485762,4258,92,830,0.017044782638549805,True
A*,1092837464,3661,95,581,0.01405644416809082,True
A*,8473629109,6146,109,496,0.024203777313232422,True
A*,192837461,115,9,63,0.0006105899810791016,True
A*,374829103,3402,91,577,0.012944936752319336,True
A*,2837465926,458,29,74,0.0020532608032226562,True
A*,91827364,1680,42,384,0.007124900817871094,True
A*,657483922,3290,70,466,0.013415098190307617,True
A*,1203948575,902,39,129,0.0035626888275146484,True
A*,847362911,3310,84,201,0.013065576553344727,True
A*,938475612,263,17,89,0.001300811767578125,True
A*,1230984752,3792,78,447,0.01437067985534668,True
A*,564738299,771,38,272,0.0032100677490234375,True
A*,2039485792,1829,63,225,0.0070989131927490234,True
A*,918273649,162,20,29,0.0009171962738037109,True
A*,1298374617,3576,70,466,0.014443159103393555,True
A*,283746590,660,35,116,0.002805471420288086,True
A*,192837463,3103,73,676,0.012292623519897461,True
A*,374829102,3597,99,225,0.014940738677978516,True
A*,847362904,5524,107,692,0.021713733673095703,True
A*,1092837405,1360,46,190,0.0054705142974853516,True
A*,65748390,2132,55,271,0.0083160400390625,True
A*,12039485043,2805,82,190,0.011079072952270508,True
A*,2039485702,3756,83,578,0.014231443405151367,True

