algorithm_name,env_n,size,best_solution,H,states,time
HC,8,8,"[1, 5, 6, 0, 3, 7, 4, 2]",1,266,0.0009407997131347656
HC,9,8,"[7, 2, 4, 6, 0, 3, 5, 7]",1,260,0.0009160041809082031
HC,10,8,"[2, 5, 7, 1, 3, 0, 7, 4]",1,252,0.0008852481842041016
HC,11,8,"[7, 4, 7, 0, 2, 6, 5, 1]",2,248,0.0008418560028076172
HC,12,8,"[4, 2, 5, 1, 6, 0, 3, 7]",1,266,0.0009455680847167969
HC,13,8,"[4, 4, 1, 3, 5, 7, 2, 0]",1,242,0.0008440017700195312
HC,14,8,"[3, 6, 0, 2, 4, 1, 7, 4]",1,248,0.0008761882781982422
HC,15,8,"[3, 7, 0, 4, 6, 1, 5, 2]",0,298,0.001016378402709961
HC,16,8,"[5, 0, 1, 4, 6, 3, 7, 2]",2,212,0.0007469654083251953
HC,17,8,"[6, 3, 3, 7, 2, 4, 1, 0]",3,214,0.0007612705230712891
HC,18,8,"[6, 1, 7, 5, 3, 0, 7, 4]",1,206,0.0007319450378417969
HC,19,8,"[6, 1, 3, 7, 0, 4, 2, 4]",2,216,0.0007557868957519531
HC,20,8,"[7, 4, 1, 5, 2, 0, 6, 3]",1,162,0.0005745887756347656
HC,21,8,"[5, 0, 6, 4, 7, 1, 3, 2]",1,266,0.0009341239929199219
HC,22,8,"[3, 6, 0, 7, 5, 1, 5, 1]",2,210,0.000732421875
HC,23,8,"[4, 7, 0, 4, 6, 1, 5, 2]",1,158,0.0005562305450439453
HC,24,8,"[6, 5, 3, 2, 0, 7, 1, 4]",2,246,0.0008685588836669922
HC,25,8,"[6, 0, 3, 5, 7, 2, 4, 2]",1,206,0.0007162094116210938
HC,26,8,"[5, 3, 6, 4, 1, 7, 0, 2]",2,212,0.0007379055023193359
HC,27,8,"[4, 0, 7, 3, 1, 6, 2, 5]",0,318,0.0010962486267089844
HC,28,8,"[1, 7, 5, 0, 2, 4, 6, 3]",0,264,0.0009200572967529297
HC,29,8,"[3, 7, 4, 1, 5, 0, 6, 0]",1,264,0.0009219646453857422
HC,0,10,"[3, 9, 0, 4, 8, 0, 6, 1, 7, 5]",2,422,0.0021660327911376953
HC,1,10,"[2, 9, 5, 8, 1, 4, 7, 0, 6, 3]",1,520,0.0027055740356445312
HC,2,10,"[0, 6, 1, 5, 2, 8, 4, 8, 3, 9]",3,346,0.0018076896667480469
HC,3,10,"[3, 6, 8, 2, 0, 9, 7, 4, 1, 9]",1,334,0.0017323493957519531
HC,4,10,"[2, 4, 1, 8, 5, 9, 1, 3, 0, 6]",1,506,0.0026247501373291016
HC,5,10,"[9, 4, 6, 8, 0, 7, 3, 0, 2, 1]",3,176,0.000911712646484375
HC,6,10,"[3, 1, 7, 4, 8, 0, 2, 9, 7, 5]",2,258,0.0013341903686523438
HC,7,10,"[5, 3, 6, 0, 2, 8, 1, 3, 9, 0]",2,340,0.0017573833465576172
HC,8,10,"[1, 5, 6, 2, 9, 7, 4, 0, 3, 8]",2,518,0.0027043819427490234
HC,9,10,"[2, 9, 1, 6, 0, 2, 0, 5, 8, 4]",2,514,0.0026679039001464844
HC,10,10,"[2, 2, 6, 1, 9, 0, 3, 7, 4, 8]",1,594,0.0030825138092041016
HC,11,10,"[5, 0, 4, 1, 7, 9, 3, 2, 8, 1]",2,576,0.002956390380859375
HC,12,10,"[9, 4, 8, 5, 0, 6, 0, 5, 7, 4]",3,254,0.0013175010681152344
HC,13,10,"[4, 4, 0, 3, 9, 7, 2, 8, 1, 8]",2,492,0.002531766891479492
HC,14,10,"[1, 9, 7, 3, 0, 2, 5, 1, 6, 4]",1,508,0.0025796890258789062
HC,15,10,"[4, 6, 8, 0, 1, 3, 9, 2, 9, 5]",2,586,0.002964496612548828
HC,16,10,"[5, 7, 9, 0, 6, 1, 9, 0, 6, 4]",3,416,0.0020830631256103516
HC,17,10,"[3, 6, 9, 7, 4, 2, 8, 5, 1, 0]",2,520,0.0026960372924804688
HC,18,10,"[6, 1, 7, 5, 3, 0, 9, 4, 2, 7]",1,496,0.002513408660888672
HC,19,10,"[2, 8, 1, 7, 3, 6, 0, 5, 4, 9]",2,522,0.002720355987548828
HC,20,10,"[4, 8, 1, 5, 9, 2, 0, 3, 6, 7]",1,434,0.0022139549255371094
HC,21,10,"[9, 6, 4, 0, 7, 3, 1, 8, 2, 5]",1,512,0.0025272369384765625
